Imbalance settlement period (CET/CEST),+ Imbalance Price [EUR/MWh] - SCA|HR,- Imbalance Price [EUR/MWh] - SCA|HR,Currency,Status,Total Imbalance [MWh] - SCA|HR,Difference,Situation,Status
01.01.2023 00:00 - 01.01.2023 01:00,21.5,21.5,EUR,Final,1,0,Deficit,Final
01.01.2023 01:00 - 01.01.2023 02:00,0.01,0.01,EUR,Final,66,-8,Deficit,Final
01.01.2023 02:00 - 01.01.2023 03:00,-0.18,-0.18,EUR,Final,66,-9,Deficit,Final
01.01.2023 03:00 - 01.01.2023 04:00,-0.63,-0.63,EUR,Final,42,-5,Deficit,Final
01.01.2023 04:00 - 01.01.2023 05:00,-2.03,-2.03,EUR,Final,8,-8,Deficit,Final
01.01.2023 05:00 - 01.01.2023 06:00,-1.33,-1.33,EUR,Final,19,-2,Deficit,Final
01.01.2023 06:00 - 01.01.2023 07:00,-1.52,-1.52,EUR,Final,10,7,Deficit,Final
01.01.2023 07:00 - 01.01.2023 08:00,-0.13,-0.13,EUR,Final,33,-9,Surplus,Final
01.01.2023 08:00 - 01.01.2023 09:00,0.02,0.02,EUR,Final,77,-1,Surplus,Final
01.01.2023 09:00 - 01.01.2023 10:00,0.36,0.36,EUR,Final,5,-4,Surplus,Final
01.01.2023 10:00 - 01.01.2023 11:00,1.58,1.58,EUR,Final,15,5,Deficit,Final
01.01.2023 11:00 - 01.01.2023 12:00,2.32,2.32,EUR,Final,14,3,Deficit,Final
01.01.2023 12:00 - 01.01.2023 13:00,1.1,1.1,EUR,Final,71,2,Surplus,Final
01.01.2023 13:00 - 01.01.2023 14:00,1.28,1.28,EUR,Final,80,-5,Surplus,Final
01.01.2023 14:00 - 01.01.2023 15:00,4.73,4.73,EUR,Final,48,1,Surplus,Final
01.01.2023 15:00 - 01.01.2023 16:00,33.31,33.31,EUR,Final,66,-10,Deficit,Final
01.01.2023 16:00 - 01.01.2023 17:00,51.16,51.16,EUR,Final,29,-18,Deficit,Final
01.01.2023 17:00 - 01.01.2023 18:00,64.44,64.44,EUR,Final,48,-8,Deficit,Final
01.01.2023 18:00 - 01.01.2023 19:00,73.63,73.63,EUR,Final,53,-1,Deficit,Final
01.01.2023 19:00 - 01.01.2023 20:00,76.93,76.93,EUR,Final,34,-8,Deficit,Final
01.01.2023 20:00 - 01.01.2023 21:00,68.59,68.59,EUR,Final,64,2,Deficit,Final
01.01.2023 21:00 - 01.01.2023 22:00,61.64,61.64,EUR,Final,75,0,Deficit,Final
01.01.2023 22:00 - 01.01.2023 23:00,64.34,64.34,EUR,Final,28,-1,Deficit,Final
01.01.2023 23:00 - 02.01.2023 00:00,49,49,EUR,Final,10,-2,Deficit,Final
02.01.2023 00:00 - 02.01.2023 01:00,40.59,40.59,EUR,Final,1,0,Deficit,Final
02.01.2023 01:00 - 02.01.2023 02:00,84.01,84.01,EUR,Final,2,0,Deficit,Final
02.01.2023 02:00 - 02.01.2023 03:00,74.1,74.1,EUR,Final,7,-4,Deficit,Final
02.01.2023 03:00 - 02.01.2023 04:00,62.55,62.55,EUR,Final,38,-3,Deficit,Final
02.01.2023 04:00 - 02.01.2023 05:00,70.11,70.11,EUR,Final,49,-4,Deficit,Final
02.01.2023 05:00 - 02.01.2023 06:00,43.61,43.61,EUR,Final,5,-1,Surplus,Final
02.01.2023 06:00 - 02.01.2023 07:00,147.11,147.11,EUR,Final,11,3,Deficit,Final
02.01.2023 07:00 - 02.01.2023 08:00,84.38,84.38,EUR,Final,12,-7,Surplus,Final
02.01.2023 08:00 - 02.01.2023 09:00,88.19,88.19,EUR,Final,0,2,Balanced,Final
02.01.2023 09:00 - 02.01.2023 10:00,208.66,208.66,EUR,Final,26,-3,Deficit,Final
02.01.2023 10:00 - 02.01.2023 11:00,203.85,203.85,EUR,Final,25,-3,Deficit,Final
02.01.2023 11:00 - 02.01.2023 12:00,86.01,86.01,EUR,Final,34,2,Surplus,Final
02.01.2023 12:00 - 02.01.2023 13:00,86.63,86.63,EUR,Final,24,1,Surplus,Final
02.01.2023 13:00 - 02.01.2023 14:00,201.26,201.26,EUR,Final,0,-2,Balanced,Final
02.01.2023 14:00 - 02.01.2023 15:00,88.92,88.92,EUR,Final,9,1,Surplus,Final
02.01.2023 15:00 - 02.01.2023 16:00,217.48,217.48,EUR,Final,2,0,Deficit,Final
02.01.2023 16:00 - 02.01.2023 17:00,228.68,228.68,EUR,Final,34,-1,Deficit,Final
02.01.2023 17:00 - 02.01.2023 18:00,239.41,239.41,EUR,Final,50,-1,Deficit,Final
02.01.2023 18:00 - 02.01.2023 19:00,244.64,244.64,EUR,Final,18,-1,Deficit,Final
02.01.2023 19:00 - 02.01.2023 20:00,98.88,98.88,EUR,Final,18,2,Surplus,Final
02.01.2023 20:00 - 02.01.2023 21:00,214.2,214.2,EUR,Final,33,-6,Deficit,Final
02.01.2023 21:00 - 02.01.2023 22:00,198.34,198.34,EUR,Final,44,5,Deficit,Final
02.01.2023 22:00 - 02.01.2023 23:00,188.87,188.87,EUR,Final,28,1,Deficit,Final
02.01.2023 23:00 - 03.01.2023 00:00,173.91,173.91,EUR,Final,14,-3,Deficit,Final
03.01.2023 00:00 - 03.01.2023 01:00,78.01,78.01,EUR,Final,18,9,Surplus,Final
03.01.2023 01:00 - 03.01.2023 02:00,168,168,EUR,Final,20,2,Deficit,Final
03.01.2023 02:00 - 03.01.2023 03:00,71.26,71.26,EUR,Final,24,1,Surplus,Final
03.01.2023 03:00 - 03.01.2023 04:00,69,69,EUR,Final,10,-1,Surplus,Final
03.01.2023 04:00 - 03.01.2023 05:00,68.18,68.18,EUR,Final,9,-1,Surplus,Final
03.01.2023 05:00 - 03.01.2023 06:00,69.76,69.76,EUR,Final,17,3,Surplus,Final
03.01.2023 06:00 - 03.01.2023 07:00,83.35,83.35,EUR,Final,21,9,Surplus,Final
03.01.2023 07:00 - 03.01.2023 08:00,223.89,223.89,EUR,Final,27,-7,Deficit,Final
03.01.2023 08:00 - 03.01.2023 09:00,236.84,236.84,EUR,Final,19,1,Deficit,Final
03.01.2023 09:00 - 03.01.2023 10:00,102.71,102.71,EUR,Final,18,2,Surplus,Final
03.01.2023 10:00 - 03.01.2023 11:00,236,236,EUR,Final,8,-2,Deficit,Final
03.01.2023 11:00 - 03.01.2023 12:00,101.69,101.69,EUR,Final,20,7,Surplus,Final
03.01.2023 12:00 - 03.01.2023 13:00,98.7,98.7,EUR,Final,17,2,Surplus,Final
03.01.2023 13:00 - 03.01.2023 14:00,96.55,96.55,EUR,Final,1,3,Surplus,Final
03.01.2023 14:00 - 03.01.2023 15:00,97.84,97.84,EUR,Final,2,-1,Surplus,Final
03.01.2023 15:00 - 03.01.2023 16:00,104.25,104.25,EUR,Final,9,2,Surplus,Final
03.01.2023 16:00 - 03.01.2023 17:00,249.05,249.05,EUR,Final,62,-15,Deficit,Final
03.01.2023 17:00 - 03.01.2023 18:00,258.2,258.2,EUR,Final,18,8,Deficit,Final
03.01.2023 18:00 - 03.01.2023 19:00,239.32,239.32,EUR,Final,25,0,Deficit,Final
03.01.2023 19:00 - 03.01.2023 20:00,96.59,96.59,EUR,Final,9,1,Surplus,Final
03.01.2023 20:00 - 03.01.2023 21:00,209.47,209.47,EUR,Final,10,2,Deficit,Final
03.01.2023 21:00 - 03.01.2023 22:00,189.81,189.81,EUR,Final,28,7,Deficit,Final
03.01.2023 22:00 - 03.01.2023 23:00,171.05,171.05,EUR,Final,56,-5,Deficit,Final
03.01.2023 23:00 - 04.01.2023 00:00,63.94,63.94,EUR,Final,5,6,Surplus,Final
04.01.2023 00:00 - 04.01.2023 01:00,139.96,139.96,EUR,Final,23,-1,Deficit,Final
04.01.2023 01:00 - 04.01.2023 02:00,119.71,119.71,EUR,Final,3,0,Deficit,Final
04.01.2023 02:00 - 04.01.2023 03:00,45.97,45.97,EUR,Final,57,-6,Surplus,Final
04.01.2023 03:00 - 04.01.2023 04:00,43.33,43.33,EUR,Final,87,-7,Surplus,Final
04.01.2023 04:00 - 04.01.2023 05:00,52.45,52.45,EUR,Final,78,-7,Surplus,Final
04.01.2023 05:00 - 04.01.2023 06:00,62.74,62.74,EUR,Final,60,16,Surplus,Final
04.01.2023 06:00 - 04.01.2023 07:00,101.78,101.78,EUR,Final,74,19,Surplus,Final
04.01.2023 07:00 - 04.01.2023 08:00,100.46,100.46,EUR,Final,74,-8,Surplus,Final
04.01.2023 08:00 - 04.01.2023 09:00,97.62,97.62,EUR,Final,109,4,Surplus,Final
04.01.2023 09:00 - 04.01.2023 10:00,99.43,99.43,EUR,Final,43,1,Surplus,Final
04.01.2023 10:00 - 04.01.2023 11:00,101.97,101.97,EUR,Final,77,0,Surplus,Final
04.01.2023 11:00 - 04.01.2023 12:00,104.11,104.11,EUR,Final,82,6,Surplus,Final
04.01.2023 12:00 - 04.01.2023 13:00,100.72,100.72,EUR,Final,29,3,Surplus,Final
04.01.2023 13:00 - 04.01.2023 14:00,103.2,103.2,EUR,Final,7,0,Surplus,Final
04.01.2023 14:00 - 04.01.2023 15:00,116.27,116.27,EUR,Final,45,3,Surplus,Final
04.01.2023 15:00 - 04.01.2023 16:00,134.4,134.4,EUR,Final,47,-6,Surplus,Final
04.01.2023 16:00 - 04.01.2023 17:00,347.51,347.51,EUR,Final,67,-22,Deficit,Final
04.01.2023 17:00 - 04.01.2023 18:00,316.85,316.85,EUR,Final,30,8,Deficit,Final
04.01.2023 18:00 - 04.01.2023 19:00,337.51,337.51,EUR,Final,109,-4,Deficit,Final
04.01.2023 19:00 - 04.01.2023 20:00,304.32,304.32,EUR,Final,77,-4,Deficit,Final
04.01.2023 20:00 - 04.01.2023 21:00,303.74,303.74,EUR,Final,16,2,Deficit,Final
04.01.2023 21:00 - 04.01.2023 22:00,242.28,242.28,EUR,Final,11,5,Deficit,Final
04.01.2023 22:00 - 04.01.2023 23:00,234.84,234.84,EUR,Final,8,-4,Deficit,Final
04.01.2023 23:00 - 05.01.2023 00:00,75.38,75.38,EUR,Final,50,11,Surplus,Final
05.01.2023 00:00 - 05.01.2023 01:00,179.1,179.1,EUR,Final,6,-3,Deficit,Final
05.01.2023 01:00 - 05.01.2023 02:00,68.56,68.56,EUR,Final,24,4,Surplus,Final
05.01.2023 02:00 - 05.01.2023 03:00,55.54,55.54,EUR,Final,23,-1,Surplus,Final
05.01.2023 03:00 - 05.01.2023 04:00,39.19,39.19,EUR,Final,7,-1,Deficit,Final
05.01.2023 04:00 - 05.01.2023 05:00,87.07,87.07,EUR,Final,45,-3,Deficit,Final
05.01.2023 05:00 - 05.01.2023 06:00,115.04,115.04,EUR,Final,35,-1,Deficit,Final
05.01.2023 06:00 - 05.01.2023 07:00,185.04,185.04,EUR,Final,45,-1,Deficit,Final
05.01.2023 07:00 - 05.01.2023 08:00,189.69,189.69,EUR,Final,22,-3,Deficit,Final
05.01.2023 08:00 - 05.01.2023 09:00,191.9,191.9,EUR,Final,14,5,Deficit,Final
05.01.2023 09:00 - 05.01.2023 10:00,86.02,86.02,EUR,Final,5,1,Surplus,Final
05.01.2023 10:00 - 05.01.2023 11:00,197.37,197.37,EUR,Final,7,-5,Deficit,Final
05.01.2023 11:00 - 05.01.2023 12:00,87.47,87.47,EUR,Final,15,0,Surplus,Final
05.01.2023 12:00 - 05.01.2023 13:00,199.22,199.22,EUR,Final,1,1,Deficit,Final
05.01.2023 13:00 - 05.01.2023 14:00,85.69,85.69,EUR,Final,8,0,Surplus,Final
05.01.2023 14:00 - 05.01.2023 15:00,211.44,211.44,EUR,Final,29,-2,Deficit,Final
05.01.2023 15:00 - 05.01.2023 16:00,223.27,223.27,EUR,Final,16,2,Deficit,Final
05.01.2023 16:00 - 05.01.2023 17:00,241.82,241.82,EUR,Final,21,-4,Deficit,Final
05.01.2023 17:00 - 05.01.2023 18:00,269.04,269.04,EUR,Final,46,3,Deficit,Final
05.01.2023 18:00 - 05.01.2023 19:00,272.54,272.54,EUR,Final,3,1,Deficit,Final
