time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0,0,0,9.61,1.66,0
20230101:0110,0,0,0,8.9,1.72,0
20230101:0210,0,0,0,8.63,1.79,0
20230101:0310,0,0,0,8.84,1.72,0
20230101:0410,0,0,0,8.65,1.59,0
20230101:0510,0,0,0,8.59,1.66,0
20230101:0610,0,0,0,8.69,1.79,0
20230101:0710,289450,146.51,4.87,9.36,1.86,0
20230101:0810,833100,395.99,12.57,10.64,1.66,0
20230101:0910,1042375,502.74,18.48,12.46,1.38,0
20230101:1010,1580175,787.37,22.1,13.53,1.31,0
20230101:1110,569250,281.66,23.05,14.16,1.31,0
20230101:1210,328200,170.77,21.19,14.35,1.1,0
20230101:1310,809875,395.08,16.77,14.67,1.1,0
20230101:1410,990450,481.75,10.21,14.71,1.1,0
20230101:1510,0,4.14,2.04,14.39,1.1,0
20230101:1610,0,0,0,13.54,0.9,0
20230101:1710,0,0,0,13.56,0.48,0
20230101:1810,0,0,0,12.97,0.69,0
20230101:1910,0,0,0,13.09,0.69,0
20230101:2010,0,0,0,12.56,0.83,0
20230101:2110,0,0,0,9.83,1.17,0
20230101:2210,0,0,0,8.74,1.17,0
20230101:2310,0,0,0,8.25,1.1,0
20230102:0010,0,0,0,7.97,1.24,0
20230102:0110,0,0,0,8.05,1.31,0
20230102:0210,0,0,0,8.18,1.45,0
20230102:0310,0,0,0,8.49,1.45,0
20230102:0410,0,0,0,8.22,1.52,0
20230102:0510,0,0,0,8.54,1.59,0
20230102:0610,0,0,0,8.66,1.66,0
20230102:0710,317600,158.53,4.87,8.57,1.66,0
20230102:0810,1170850,558.03,12.59,10.06,1.45,0
20230102:0910,620450,301.54,18.52,11.98,1.31,0
20230102:1010,281400,148.51,22.17,13.07,1.45,0
20230102:1110,314575,164,23.14,13.61,1.86,0
20230102:1210,155525,90.33,21.3,14.2,2.14,0
20230102:1310,178150,100.78,16.89,14.26,2.07,0
20230102:1410,531425,260.74,10.34,14.12,1.86,0
20230102:1510,0,2.49,2.17,13.6,1.66,0
20230102:1610,0,0,0,12.94,1.52,0
20230102:1710,0,0,0,12.32,1.38,0
20230102:1810,0,0,0,11.64,1.45,0
20230102:1910,0,0,0,11.78,0.9,0
20230102:2010,0,0,0,10.98,1.1,0
20230102:2110,0,0,0,10.55,1.31,0
20230102:2210,0,0,0,9.58,1.45,0
20230102:2310,0,0,0,9.75,1.38,0
20230103:0010,0,0,0,10.02,1.38,0
20230103:0110,0,0,0,10.18,1.52,0
20230103:0210,0,0,0,10.42,1.52,0
20230103:0310,0,0,0,10.43,1.45,0
20230103:0410,0,0,0,10.4,1.24,0
20230103:0510,0,0,0,10.06,1.24,0
20230103:0610,0,0,0,9.97,1.38,0
20230103:0710,67375,45.28,4.88,10.06,1.52,0
20230103:0810,950825,455.34,12.62,11.22,1.03,0
20230103:0910,1546300,773.61,18.57,13.03,0.76,0
20230103:1010,207025,114.82,22.24,13.74,0.28,0
20230103:1110,239300,130.13,23.23,14.13,0.55,0
20230103:1210,449850,226.88,21.42,14.35,0.9,0
20230103:1310,187925,105.55,17.01,14.44,1.1,0
20230103:1410,837275,405.4,10.47,14.22,1.24,0
20230103:1510,125,5.8,2.31,13.65,1.24,0
20230103:1610,0,0,0,12.84,1.52,0
20230103:1710,0,0,0,12.18,1.79,0
20230103:1810,0,0,0,11.58,2.07,0
20230103:1910,0,0,0,11.65,2.28,0
20230103:2010,0,0,0,11.35,2.21,0
20230103:2110,0,0,0,11.14,2.07,0
20230103:2210,0,0,0,10.94,2.07,0
20230103:2310,0,0,0,10.88,2.07,0
20230104:0010,0,0,0,10.73,2,0
20230104:0110,0,0,0,10.46,1.79,0
20230104:0210,0,0,0,9.86,1.86,0
20230104:0310,0,0,0,9.52,2.07,0
20230104:0410,0,0,0,9.35,2.28,0
20230104:0510,0,0,0,9.13,2.41,0
20230104:0610,0,0,0,8.94,2.48,0
20230104:0710,318875,159.29,4.9,9.31,2.62,0
20230104:0810,1483075,708.9,12.65,10.28,2.41,0
20230104:0910,1648525,799.84,18.63,11.78,2.69,0
20230104:1010,1825100,899.35,22.33,12.99,2.83,0
20230104:1110,1890650,945.85,23.34,14.03,2.48,0
20230104:1210,1855800,933.32,21.54,14.67,2.21,0
20230104:1310,1651750,819.52,17.15,14.89,2.21,0
20230104:1410,1360075,660.81,10.61,14.6,2.34,0
20230104:1510,1750,7.46,2.45,13.63,2.69,0
20230104:1610,0,0,0,12.45,2.62,0
20230104:1710,0,0,0,11.54,2.62,0
20230104:1810,0,0,0,10.86,2.62,0
20230104:1910,0,0,0,10.35,2.48,0
20230104:2010,0,0,0,9.84,2.28,0
20230104:2110,0,0,0,9.37,2.14,0
20230104:2210,0,0,0,9.07,1.93,0
20230104:2310,0,0,0,9.09,2.14,0
20230105:0010,0,0,0,8.99,2.07,0
20230105:0110,0,0,0,8.59,1.72,0
20230105:0210,0,0,0,7.85,1.45,0
20230105:0310,0,0,0,7.13,1.38,0
20230105:0410,0,0,0,6.42,1.31,0
20230105:0510,0,0,0,6.23,1.24,0
20230105:0610,0,0,0,6.37,1.1,0
20230105:0710,9275,13.26,4.93,9.05,0.34,0
20230105:0810,74650,49.72,12.7,9.64,0.34,0
20230105:0910,293625,152.55,18.7,10.57,0.21,0
20230105:1010,320350,165.59,22.42,11.17,0.34,0
20230105:1110,230150,124.52,23.45,11.9,1.24,0
20230105:1210,90300,58.01,21.67,12.16,1.72,0
20230105:1310,248650,132.49,17.29,12.6,2,0
20230105:1410,247950,131.05,10.76,12.59,2,0
20230105:1510,0,4.97,2.59,12.17,1.72,0
20230105:1610,0,0,0,11.53,1.38,0
20230105:1710,0,0,0,10.67,1.1,0
20230105:1810,0,0,0,10.04,1.17,0
20230105:1910,0,0,0,9.52,1.31,0
20230105:2010,0,0,0,9.42,1.45,0
20230105:2110,0,0,0,9.1,1.52,0
20230105:2210,0,0,0,8.51,1.45,0
20230105:2310,0,0,0,8.47,1.52,0
20230106:0010,0,0,0,8.25,1.59,0
20230106:0110,0,0,0,7.96,1.52,0
20230106:0210,0,0,0,7.61,1.52,0
20230106:0310,0,0,0,7.26,1.59,0
20230106:0410,0,0,0,6.84,1.72,0
20230106:0510,0,0,0,6.13,1.72,0
20230106:0610,0,0,0,5.83,1.79,0
20230106:0710,684950,318.76,4.96,6.28,1.72,0
20230106:0810,1509750,720.73,12.75,7.12,1.38,0
20230106:0910,1702175,838.43,18.77,9.3,1.1,0
20230106:1010,1795475,909.82,22.51,11.16,0.69,0
20230106:1110,1826450,948.78,23.57,12.47,0.21,0
20230106:1210,1488675,747.47,21.8,13.16,0.48,0
20230106:1310,1594950,798.66,17.43,13.37,0.97,0
20230106:1410,1370875,670.79,10.91,13.13,1.24,0
20230106:1510,3650,9.12,2.75,12.37,1.52,0
20230106:1610,0,0,0,11.38,1.66,0
20230106:1710,0,0,0,10.47,1.86,0
20230106:1810,0,0,0,9.72,1.86,0
20230106:1910,0,0,0,8.85,2.07,0
20230106:2010,0,0,0,8.14,1.86,0
20230106:2110,0,0,0,7.23,1.66,0
20230106:2210,0,0,0,6.35,1.59,0
20230106:2310,0,0,0,5.75,1.66,0
20230107:0010,0,0,0,5.31,1.72,0
20230107:0110,0,0,0,5.44,1.79,0
20230107:0210,0,0,0,5.28,1.86,0
20230107:0310,0,0,0,4.5,1.93,0
20230107:0410,0,0,0,4.29,1.86,0
20230107:0510,0,0,0,4.22,1.72,0
20230107:0610,0,0,0,4.06,1.72,0
20230107:0710,97025,58.42,5,4.63,1.59,0
20230107:0810,275950,140.78,12.81,6.57,1.31,0
20230107:0910,216700,116.66,18.85,9.18,1.1,0
20230107:1010,162750,92.82,22.62,11.18,0.83,0
20230107:1110,288450,151.62,23.69,12.15,0.76,0
20230107:1210,293325,153.73,21.94,12.57,1.17,0
20230107:1310,145725,85.03,17.58,12.59,1.38,0
20230107:1410,102550,63.8,11.06,12.47,1.38,0
20230107:1510,0,4.14,2.9,11.85,1.17,0
20230107:1610,0,0,0,10.75,1.17,0
20230107:1710,0,0,0,9.49,1.17,0
20230107:1810,0,0,0,9.1,1.03,0
20230107:1910,0,0,0,7.53,1.59,0
20230107:2010,0,0,0,6.98,1.72,0
20230107:2110,0,0,0,6.43,1.59,0
20230107:2210,0,0,0,5.96,1.52,0
20230107:2310,0,0,0,5.58,1.52,0
20230108:0010,0,0,0,5.52,1.52,0
20230108:0110,0,0,0,6.03,1.52,0
20230108:0210,0,0,0,6.73,1.45,0
20230108:0310,0,0,0,7.38,1.17,0
20230108:0410,0,0,0,7.6,1.17,0
20230108:0510,0,0,0,7.93,1.45,0
20230108:0610,0,0,0,8.18,1.79,0
20230108:0710,68375,45.53,5.04,8.51,1.79,0
20230108:0810,52100,38.12,12.87,9.81,1.93,0
20230108:0910,203350,111.23,18.94,10.99,2.14,0
20230108:1010,344650,175.82,22.73,11.55,2.55,0
20230108:1110,173000,97.79,23.82,12.18,2.83,0
20230108:1210,1453550,700.37,22.09,12.07,2.76,0
20230108:1310,592425,286.39,17.74,12.1,3.17,0
20230108:1410,1240075,587.48,11.23,11.78,3.17,0
20230108:1510,925,6.63,3.07,11.61,3.59,0
20230108:1610,0,0,0,10.91,3.72,0
20230108:1710,0,0,0,10.75,4,0
20230108:1810,0,0,0,10.86,4.07,0
20230108:1910,0,0,0,11.12,4.28,0
20230108:2010,0,0,0,11.18,4.97,0
20230108:2110,0,0,0,11.14,5.17,0
20230108:2210,0,0,0,11.35,5.24,0
20230108:2310,0,0,0,11.33,5.45,0
20230109:0010,0,0,0,11.65,6,0
20230109:0110,0,0,0,11.95,6.28,0
20230109:0210,0,0,0,12.13,6.55,0
20230109:0310,0,0,0,12.13,6.69,0
20230109:0410,0,0,0,11.71,7.03,0
20230109:0510,0,0,0,11.81,6.97,0
20230109:0610,0,0,0,11.79,7.52,0
20230109:0710,37800,30.28,5.09,12,8.14,0
20230109:0810,198725,108.35,12.94,12.28,7.31,0
20230109:0910,82125,53.87,19.03,12.46,6.76,0
20230109:1010,90400,58.01,22.85,12.65,7.79,0
20230109:1110,51450,38.12,23.96,12.53,6.97,0
20230109:1210,93800,59.67,22.25,12.47,6.76,0
20230109:1310,65750,45.58,17.9,12.53,6.34,0
20230109:1410,37700,30.66,11.39,12.41,5.66,0
20230109:1510,0,4.14,3.23,12.46,5.1,0
20230109:1610,0,0,0,12.3,4.41,0
20230109:1710,0,0,0,12.08,3.45,0
20230109:1810,0,0,0,11.8,3.1,0
20230109:1910,0,0,0,11.56,2.83,0
20230109:2010,0,0,0,10.76,3.59,0
20230109:2110,0,0,0,10.07,3.72,0
20230109:2210,0,0,0,9.01,3.45,0
20230109:2310,0,0,0,8.43,2.83,0
20230110:0010,0,0,0,8.07,3.17,0
20230110:0110,0,0,0,7.59,3.86,0
